Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Total Reps,Total Sets,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2025-06-06 17:17:26,false,"Berlin Cycling","5.99","240","00:22:47","139","159","--","--","15.8","30.1","21","5","--","0.0","--","--","--","No","00:05:21.6","2","--","--","--","--","--","--","--","--","00:17:50","00:22:47","42","64"
Cycling,2025-06-05 17:07:26,false,"Berlin Cycling","7.90","229","00:24:28","129","160","--","--","19.4","33.0","40","23","--","0.0","--","--","--","No","00:08:43.5","2","--","--","--","--","--","--","--","--","00:21:04","00:24:28","26","61"
Strength Training,2025-06-05 08:15:42,false,"Strength","0.00","159","00:25:50","119","160","--","--","--","--","--","--","--","0.0","--","--","--","No","00:25:50","1","--","--","--","--","--","--","--","--","00:00:00","00:25:50","--","--"
Cycling,2025-06-05 07:45:17,false,"Berlin Cycling","7.78","234","00:24:14","133","162","--","--","19.3","34.5","5","22","--","0.0","--","--","--","No","00:08:13.9","2","--","--","--","--","--","--","--","--","00:21:01","00:24:14","25","60"
Strength Training,2025-06-04 12:06:17,false,"Home","0.00","226","00:28:18","121","150","--","--","--","--","--","--","--","0.0","--","--","--","No","00:28:18","1","--","--","--","--","--","--","--","--","00:00:00","00:28:18","--","--"
Cycling,2025-06-03 17:20:34,false,"Berlin Cycling","7.81","229","00:23:08","135","160","--","--","20.3","30.3","29","11","--","0.0","--","--","--","No","00:08:26.0","2","--","--","--","--","--","--","--","--","00:20:32","00:23:08","26","53"
Strength Training,2025-06-03 08:12:40,false,"Strength","0.00","222","00:21:05","140","153","--","--","--","--","--","--","--","0.0","--","--","--","No","00:21:05","1","--","--","--","--","--","--","--","--","00:00:00","00:21:05","--","--"
Cycling,2025-06-03 07:51:35,false,"Berlin Cycling","4.40","174","00:17:55","134","159","--","--","14.7","32.7","39","44","--","0.0","--","--","--","No","00:17:55","1","--","--","--","--","--","--","--","--","00:12:44","00:17:55","26","139"
Strength Training,2025-06-02 08:52:27,false,"Home","0.00","197","00:35:48","103","139","--","--","--","--","--","--","--","0.0","--","--","--","No","00:35:48","1","--","--","--","--","--","--","--","--","00:00:00","00:35:48","--","--"
Walking,2025-05-26 12:59:30,false,"Wunsiedel Walking","2.03","220","01:14:08","78","111","21","160","36:33","4:26","48","121","1.27","0.0","2,790","--","--","No","00:03:18.5","3","--","--","--","--","--","--","--","--","00:19:21","01:46:18","672","783"
Stopwatch,2025-05-23 05:45:56,false,"Stopwatch","--","--","00:14:44","--","--","--","--","--","--","--","--","--","0.0","--","--","--","No","00:14:44","1","--","--","--","--","--","--","--","--","00:00:00","00:14:44","--","--"
Cycling,2025-05-21 15:08:32,false,"Berlin Cycling","7.84","237","00:23:45","136","164","--","--","19.8","32.8","29","14","--","0.0","--","--","--","No","00:08:57.3","2","--","--","--","--","--","--","--","--","00:20:52","00:23:45","27","57"
Cycling,2025-05-21 08:14:59,false,"Berlin Cycling","8.10","205","00:27:34","117","150","--","--","17.6","34.1","35","51","--","0.0","--","--","--","No","00:10:30","2","--","--","--","--","--","--","--","--","00:23:22","00:27:34","25","58"
Stopwatch,2025-05-21 05:53:05,false,"Stopwatch","--","--","00:15:28","--","--","--","--","--","--","--","--","--","0.0","--","--","--","No","00:15:28","1","--","--","--","--","--","--","--","--","00:00:00","00:15:28","--","--"
Cycling,2025-05-20 17:02:44,false,"Berlin Cycling","9.69","300","00:32:13","131","154","--","--","18.1","28.0","40","24","--","0.0","--","--","--","No","00:06:16.4","3","--","--","--","--","--","--","--","--","00:28:46","00:32:13","26","58"
Cycling,2025-05-20 07:55:46,false,"Berlin Cycling","7.73","230","00:27:19","124","155","--","--","17.0","33.8","44","64","--","0.0","--","--","--","No","00:09:28.7","2","--","--","--","--","--","--","--","--","00:22:49","00:27:19","25","62"
Stopwatch,2025-05-20 05:50:52,false,"Stopwatch","--","--","00:21:01","--","--","--","--","--","--","--","--","--","0.0","--","--","--","No","00:21:01","1","--","--","--","--","--","--","--","--","00:00:00","00:21:01","--","--"
Cycling,2025-05-19 17:04:00,false,"Berlin Cycling","6.66","215","00:24:53","125","155","--","--","16.1","27.4","26","29","--","0.0","--","--","--","No","00:05:54.4","2","--","--","--","--","--","--","--","--","00:21:00","00:24:53","43","63"
Cycling,2025-05-19 16:04:54,false,"Berlin Cycling","4.75","162","00:17:32","129","162","--","--","16.2","50.3","37","19","--","0.0","--","--","--","No","00:17:32","1","--","--","--","--","--","--","--","--","00:14:30","00:17:32","32","54"
Cycling,2025-05-19 08:28:37,false,"Berlin Cycling","7.96","228","00:26:02","126","151","--","--","18.3","31.0","11","26","--","0.0","--","--","--","No","00:09:51.1","2","--","--","--","--","--","--","--","--","00:22:36","00:26:02","25","62"
Stopwatch,2025-05-19 05:43:52,false,"Stopwatch","--","--","00:20:43","--","--","--","--","--","--","--","--","--","0.0","--","--","--","No","00:20:43","1","--","--","--","--","--","--","--","--","00:00:00","00:20:43","--","--"
Cycling,2025-05-18 16:16:35,false,"Berlin Cycling","6.41","224","00:22:36","135","162","--","--","17.0","25.6","17","28","--","0.0","--","--","--","No","00:05:38.6","2","--","--","--","--","--","--","--","--","00:20:31","00:22:36","43","65"
Cycling,2025-05-18 13:19:52,false,"Berlin Cycling","6.67","224","00:22:29","135","160","--","--","17.8","41.5","36","21","--","0.0","--","--","--","No","00:06:07.0","2","--","--","--","--","--","--","--","--","00:20:59","00:22:29","43","63"
Stopwatch,2025-05-17 07:19:52,false,"Stopwatch","--","--","00:19:03","--","--","--","--","--","--","--","--","--","0.0","--","--","--","No","00:19:03","1","--","--","--","--","--","--","--","--","00:00:00","00:19:03","--","--"
Stopwatch,2025-05-16 05:46:02,false,"Stopwatch","--","--","00:16:39","--","--","--","--","--","--","--","--","--","0.0","--","--","--","No","00:16:39","1","--","--","--","--","--","--","--","--","00:00:00","00:16:39","--","--"
Stopwatch,2025-05-16 05:45:27,false,"Stopwatch","--","--","00:00:02.2","--","--","--","--","--","--","--","--","--","0.0","--","--","--","No","00:00:02.2","1","--","--","--","--","--","--","--","--","00:00:00","00:00:02.2","--","--"
Cycling,2025-05-15 17:41:07,false,"Berlin Cycling","7.90","295","00:27:55","140","162","--","--","17.0","29.5","29","15","--","0.0","--","--","--","No","00:09:24.2","2","--","--","--","--","--","--","--","--","00:23:26","00:27:55","26","57"
Cycling,2025-05-15 08:05:33,false,"Berlin Cycling","8.05","171","00:25:03","111","147","--","--","19.3","31.5","24","40","--","0.0","--","--","--","No","00:10:30","2","--","--","--","--","--","--","--","--","00:21:45","00:25:03","26","61"
Cycling,2025-05-13 21:08:54,false,"Berlin Cycling","5.76","171","00:17:27","132","160","--","--","19.8","58.5","12","18","--","0.0","--","--","--","No","00:02:14.5","2","--","--","--","--","--","--","--","--","00:16:13","00:17:27","43","60"
Cycling,2025-05-13 17:33:54,false,"Berlin Cycling","4.89","206","00:31:07","114","146","--","--","9.4","31.5","35","12","--","0.0","--","--","--","No","00:31:07","1","--","--","--","--","--","--","--","--","00:19:34","00:31:11","32","65"
Cycling,2025-05-13 07:42:50,false,"Berlin Cycling","7.62","190","00:23:33","120","153","--","--","19.4","36.6","26","43","--","0.0","--","--","--","No","00:07:46.6","2","--","--","--","--","--","--","--","--","00:21:28","00:23:33","26","59"
Cycling,2025-05-12 15:28:47,false,"Berlin Cycling","8.24","287","00:30:09","136","166","--","--","16.4","29.6","33","19","--","0.0","--","--","--","No","00:13:43","2","--","--","--","--","--","--","--","--","00:24:50","00:30:09","27","54"
Cycling,2025-05-12 08:21:53,false,"Berlin Cycling","8.04","195","00:26:33","115","144","--","--","18.2","35.1","20","37","--","0.0","--","--","--","No","00:10:10","2","--","--","--","--","--","--","--","--","00:21:36","00:26:33","26","62"
Cycling,2025-05-11 13:25:30,false,"Berlin Cycling","6.00","178","00:22:04","121","140","--","--","16.3","42.8","19","8","--","0.0","--","--","--","No","00:03:59.5","2","--","--","--","--","--","--","--","--","00:18:57","00:22:04","42","63"
Cycling,2025-05-06 07:40:46,false,"Berlin Cycling","7.72","221","00:30:20","116","141","--","--","15.3","29.2","45","99","--","0.0","--","--","--","No","00:09:55.0","2","--","--","--","--","--","--","--","--","00:23:25","00:30:20","25","87"
Cycling,2025-05-05 15:22:41,false,"Berlin Cycling","5.22","140","00:19:13","112","146","--","--","16.3","23.7","19","4","--","0.0","--","--","--","No","00:00:40.8","2","--","--","--","--","--","--","--","--","00:17:04","00:19:13","26","57"
Cycling,2025-05-05 07:54:37,false,"Berlin Cycling","8.11","207","00:27:00","119","164","--","--","18.0","35.3","33","49","--","0.0","--","--","--","No","00:10:32","2","--","--","--","--","--","--","--","--","00:23:38","00:27:00","26","60"
Cycling,2025-05-04 13:15:15,false,"Berlin Cycling","6.73","223","00:24:40","129","153","--","--","16.4","28.1","27","6","--","0.0","--","--","--","No","00:09:07.7","2","--","--","--","--","--","--","--","--","00:19:59","00:24:40","43","71"
Cycling,2025-04-28 17:15:20,false,"Berlin Cycling","10.59","286","00:37:35","116","146","--","--","16.9","28.0","39","30","--","0.0","--","--","--","No","00:04:17.5","3","--","--","--","--","--","--","--","--","00:31:46","00:37:35","26","54"
Cycling,2025-04-28 08:44:32,false,"Berlin Cycling","8.01","256","00:26:46","126","159","--","--","18.0","31.0","26","40","--","0.0","--","--","--","No","00:11:45","2","--","--","--","--","--","--","--","--","00:22:50","00:26:46","25","61"
Cycling,2025-04-24 16:54:56,false,"Berlin Cycling","7.98","293","00:29:26","137","160","--","--","16.3","31.6","30","17","--","0.0","--","--","--","No","00:29:26","1","--","--","--","--","--","--","--","--","00:26:10","00:29:26","32","57"
Strength Training,2025-04-24 11:06:17,false,"Strength","0.00","259","00:32:12","123","152","--","--","--","--","--","--","--","0.0","--","--","--","No","00:32:12","1","--","--","--","--","--","--","--","--","00:00:00","00:32:12","--","--"
Cycling,2025-04-24 07:56:36,false,"Berlin Cycling","8.34","237","00:24:15","116","132","--","--","20.6","31.2","36","51","--","0.0","--","--","--","No","00:24:15","1","--","--","--","--","--","--","--","--","00:22:23","00:24:15","27","58"
Cycling,2025-04-15 19:58:52,false,"Berlin Cycling","9.03","397","00:29:56","147","169","--","--","18.1","31.5","31","19","--","0.0","--","--","--","No","00:29:56","1","--","--","--","--","--","--","--","--","00:26:26","00:29:56","32","53"
Cycling,2025-04-15 16:40:36,false,"Berlin Cycling","2.81","105","00:16:32","109","132","--","--","10.2","30.2","59","7","--","0.0","--","--","--","No","00:16:32","1","--","--","--","--","--","--","--","--","00:09:03","00:16:32","27","86"
Cycling,2025-04-15 07:34:29,false,"Berlin Cycling","7.80","189","00:24:31","118","151","--","--","19.1","33.8","44","60","--","0.0","--","--","--","No","00:24:31","1","--","--","--","--","--","--","--","--","00:20:50","00:24:31","25","62"
Cycling,2025-04-11 17:30:34,false,"Berlin Cycling","5.66","188","00:20:08","115","148","--","--","16.9","31.8","16","5","--","0.0","--","--","--","No","00:20:08","1","--","--","--","--","--","--","--","--","00:17:32","00:20:08","42","64"
Cycling,2025-04-10 08:07:58,false,"Berlin Cycling","8.12","239","00:25:34","131","152","--","--","19.0","36.2","35","52","--","0.0","--","--","--","No","00:25:34","1","--","--","--","--","--","--","--","--","00:22:19","00:25:34","26","61"
Strength Training,2025-04-07 08:46:48,false,"Strength","0.00","249","00:33:36","118","139","--","--","--","--","--","--","--","0.0","--","--","--","No","00:33:36","1","--","--","--","--","--","--","--","--","00:00:00","00:33:36","--","--"
Strength Training,2025-04-04 11:48:54,false,"Strength","0.00","318","00:34:30","130","157","--","--","--","--","--","--","--","0.0","--","--","--","No","00:34:30","1","--","--","--","--","--","--","--","--","00:00:00","00:34:30","--","--"
Cycling,2025-04-03 16:25:22,false,"Berlin Cycling","11.19","431","00:39:12","146","177","--","--","17.1","32.7","35","26","--","0.0","--","--","--","No","00:39:12","1","--","--","--","--","--","--","--","--","00:33:04","00:39:12","34","60"
Cycling,2025-04-03 14:44:48,false,"Berlin Cycling","9.70","383","00:41:10","134","164","--","--","14.1","27.9","64","53","--","0.0","--","--","--","No","00:41:10","1","--","--","--","--","--","--","--","--","00:30:37","00:41:10","27","52"
Cycling,2025-04-03 07:44:22,false,"Berlin Cycling","7.87","231","00:25:22","129","152","--","--","18.6","32.0","23","41","--","0.0","--","--","--","No","00:25:22","1","--","--","--","--","--","--","--","--","00:22:41","00:25:22","25","58"
Cycling,2025-04-02 15:37:30,false,"Berlin Cycling","7.94","276","00:27:18","142","172","--","--","17.5","30.9","28","15","--","0.0","--","--","--","No","00:27:18","1","--","--","--","--","--","--","--","--","00:23:28","00:27:18","26","56"
Cycling,2025-04-02 08:11:45,false,"Berlin Cycling","8.43","256","00:26:13","135","159","--","--","19.3","35.0","31","46","--","0.0","--","--","--","No","00:26:13","1","--","--","--","--","--","--","--","--","00:22:28","00:26:13","25","61"
Cycling,2025-04-01 21:01:51,false,"Berlin Cycling","8.25","304","00:28:24","143","172","--","--","17.4","42.0","45","32","--","0.0","--","--","--","No","00:28:24","1","--","--","--","--","--","--","--","--","00:23:58","00:28:24","32","53"
Cycling,2025-04-01 07:37:02,false,"Berlin Cycling","8.18","205","00:26:35","118","147","--","--","18.5","29.1","30","47","--","0.0","--","--","--","No","00:26:35","1","--","--","--","--","--","--","--","--","00:23:32","00:26:35","26","56"
Strength Training,2025-03-31 11:46:52,false,"Strength","0.00","241","00:30:07","121","156","--","--","--","--","--","--","--","0.0","--","--","--","No","00:30:07","1","--","--","--","--","--","--","--","--","00:00:00","00:30:07","--","--"
Cycling,2025-03-30 16:18:35,false,"Berlin Cycling","6.77","263","00:22:44","125","152","--","--","17.9","29.7","17","28","--","0.0","--","--","--","No","00:22:44","1","--","--","--","--","--","--","--","--","00:19:53","00:22:44","44","64"
Cycling,2025-03-30 13:08:16,false,"Berlin Cycling","6.16","202","00:20:37","128","154","--","--","17.9","24.4","16","10","--","0.0","--","--","--","No","00:20:37","1","--","--","--","--","--","--","--","--","00:20:07","00:20:37","43","61"
Cycling,2025-03-27 18:22:03,false,"Berlin Cycling","8.15","271","00:29:44","130","168","--","--","16.5","36.6","50","35","--","0.0","--","--","--","No","00:29:44","1","--","--","--","--","--","--","--","--","00:25:42","00:29:44","26","55"
Cycling,2025-03-27 07:38:13,false,"Berlin Cycling","8.23","260","00:26:54","134","169","--","--","18.3","48.7","21","37","--","0.0","--","--","--","No","00:26:54","1","--","--","--","--","--","--","--","--","00:23:59","00:26:54","26","62"
Cycling,2025-03-25 16:17:43,false,"Berlin Cycling","8.18","241","00:29:21","107","138","--","--","16.7","32.3","47","30","--","0.0","--","--","--","No","00:29:21","1","--","--","--","--","--","--","--","--","00:25:19","00:29:21","26","55"
Strength Training,2025-03-25 11:08:46,false,"Strength","0.00","271","00:32:22","124","145","--","--","--","--","--","--","--","0.0","--","--","--","No","00:32:22","1","--","--","--","--","--","--","--","--","00:00:00","00:32:22","--","--"
Cycling,2025-03-25 07:32:15,false,"Berlin Cycling","8.05","245","00:28:42","123","152","--","--","16.8","31.5","45","55","--","0.0","--","--","--","No","00:28:42","1","--","--","--","--","--","--","--","--","00:23:41","00:28:42","25","60"
Cycling,2025-03-24 10:21:19,false,"Berlin Cycling","4.85","118","00:15:27","116","133","--","--","18.8","30.2","10","15","--","0.0","--","--","--","No","00:15:27","1","--","--","--","--","--","--","--","--","00:14:02","00:15:27","43","59"
Cycling,2025-03-24 08:43:12,false,"Berlin Cycling","5.99","215","00:21:34","97","116","--","--","16.7","27.8","16","12","--","0.0","--","--","--","No","00:21:34","1","--","--","--","--","--","--","--","--","00:16:23","00:21:34","44","58"
Cycling,2025-03-23 16:19:40,false,"Berlin Cycling","8.11","250","00:25:47","133","157","--","--","18.9","31.0","11","20","--","0.0","--","--","--","No","00:10:11","2","--","--","--","--","--","--","--","--","00:24:16","00:25:47","43","62"
Cycling,2025-03-23 13:18:04,false,"Berlin Cycling","8.39","299","00:29:35","137","160","--","--","17.0","31.2","24","14","--","0.0","--","--","--","No","00:13:09","2","--","--","--","--","--","--","--","--","00:25:05","00:29:35","44","64"
Cycling,2025-03-21 22:00:19,false,"Berlin Cycling","9.56","349","00:32:54","142","157","--","--","17.4","28.0","65","57","--","0.0","--","--","--","No","00:15:09","2","--","--","--","--","--","--","--","--","00:29:27","00:32:54","13","53"
Cycling,2025-03-21 18:44:33,false,"Berlin Cycling","10.07","388","00:30:28","100","122","--","--","19.8","34.9","20","30","--","0.0","--","--","--","No","00:00:51.0","3","--","--","--","--","--","--","--","--","00:26:45","00:30:28","34","54"
Strength Training,2025-03-21 13:03:33,false,"Strength","0.00","310","00:30:23","139","165","--","--","--","--","--","--","--","0.0","--","--","--","No","00:30:23","1","--","--","--","--","--","--","--","--","00:00:00","00:30:23","--","--"
Cycling,2025-03-20 18:01:19,false,"Berlin Cycling","8.84","354","00:31:05","150","178","--","--","17.1","34.0","41","26","--","0.0","--","--","--","No","00:13:53","2","--","--","--","--","--","--","--","--","00:25:26","00:31:05","26","57"
Cycling,2025-03-20 07:35:57,false,"Berlin Cycling","8.45","265","00:26:28","136","164","--","--","19.2","31.6","35","54","--","0.0","--","--","--","No","00:11:23","2","--","--","--","--","--","--","--","--","00:24:30","00:26:28","26","61"
Cycling,2025-03-16 16:10:50,false,"Berlin Cycling","6.42","167","00:27:27","98","121","--","--","14.0","30.5","18","43","--","0.0","--","--","--","No","00:10:01","2","--","--","--","--","--","--","--","--","00:20:35","00:27:27","35","61"
Cycling,2025-03-13 17:04:12,false,"Berlin Cycling","10.44","488","00:48:13","143","162","--","--","13.0","26.4","46","48","--","0.0","--","--","--","No","00:11:06","3","--","--","--","--","--","--","--","--","00:34:43","00:48:13","32","53"
Cycling,2025-03-13 08:02:06,false,"Berlin Cycling","8.49","321","00:29:48","145","172","--","--","17.1","31.4","46","50","--","0.0","--","--","--","No","00:14:07","2","--","--","--","--","--","--","--","--","00:24:06","00:29:48","25","55"
Walking,2025-03-07 10:23:43,false,"Schliersee Walking","7.67","860","01:58:28","132","166","88","160","15:27","7:40","440","440","0.72","0.0","11,192","--","--","No","00:08:09.0","8","--","--","--","--","--","--","--","--","01:40:54","02:17:06","1,086","1,509"
Strength Training,2025-02-21 12:59:50,false,"Spok","0.00","63","00:06:08.5","131","152","--","--","--","--","--","--","--","0.0","--","--","--","No","00:06:08.5","1","--","--","--","--","--","--","--","--","00:00:00","00:06:08.5","--","--"
Strength Training,2025-02-21 12:19:46,false,"Spok","0.00","325","00:39:42","123","148","--","--","--","--","--","--","--","0.0","--","--","--","No","00:39:42","1","--","--","--","--","--","--","--","--","00:00:00","00:39:42","--","--"
Strength Training,2025-02-17 12:34:54,false,"Spok","0.00","233","00:31:49","117","152","--","--","--","--","--","--","--","0.0","--","--","--","No","00:31:49","1","--","--","--","--","--","--","--","--","00:00:00","00:31:49","--","--"
Treadmill Running,2025-02-17 12:23:33,false,"Treadmill Running","1.72","110","00:09:52.3","140","156","164","172","5:45","5:08","--","--","1.06","0.0","1,622","--","--","No","00:03:53.7","2","--","--","--","--","--","--","--","--","00:09:50.7","00:09:52.3","--","--"
Strength Training,2025-02-10 12:24:53,false,"Spok","0.00","360","00:37:17","132","158","--","--","--","--","--","--","--","0.0","--","--","--","No","00:37:17","1","--","--","--","--","--","--","--","--","00:00:00","00:37:17","--","--"
Treadmill Running,2025-02-10 12:14:06,false,"Treadmill Running","1.61","108","00:09:20.2","147","169","157","170","5:49","5:11","--","--","1.09","0.0","1,484","--","--","No","00:03:12.1","2","--","--","--","--","--","--","--","--","00:08:50","00:09:20.2","--","--"
Strength Training,2025-02-05 12:51:48,false,"Spok","0.00","378","00:43:00","127","161","--","--","--","--","--","--","--","0.0","--","--","--","No","00:43:00","1","--","--","--","--","--","--","--","--","00:00:00","00:43:00","--","--"
Treadmill Running,2025-02-05 12:39:36,false,"Treadmill Running","1.80","115","00:10:14","140","159","161","172","5:41","5:09","--","--","1.09","0.0","1,654","--","--","No","00:04:24.1","2","--","--","--","--","--","--","--","--","00:10:14","00:10:14","--","--"
Strength Training,2025-02-02 19:19:35,false,"Home","0.00","273","00:41:23","111","142","--","--","--","--","--","--","--","0.0","--","--","--","No","00:41:23","1","--","--","--","--","--","--","--","--","00:00:00","00:41:23","--","--"
Strength Training,2025-01-28 11:47:28,false,"Spok","0.00","397","00:42:39","131","167","--","--","--","--","--","--","--","0.0","--","--","--","No","00:42:39","1","--","--","--","--","--","--","--","--","00:00:00","00:42:39","--","--"
Treadmill Running,2025-01-28 11:36:09,false,"Treadmill Running","1.79","118","00:09:48.8","152","167","166","175","5:29","5:01","--","--","1.10","0.0","1,630","--","--","No","00:04:12.7","2","--","--","--","--","--","--","--","--","00:09:47","00:09:48.8","--","--"
Strength Training,2025-01-24 13:25:31,false,"Spok","0.00","347","00:39:37","128","160","--","--","--","--","--","--","--","0.0","--","--","--","No","00:39:37","1","--","--","--","--","--","--","--","--","00:00:00","00:39:37","--","--"
Treadmill Running,2025-01-24 13:14:36,false,"Treadmill Running","1.78","117","00:09:41.5","150","162","164","173","5:27","5:07","--","--","1.12","0.0","1,614","--","--","No","00:04:04.4","2","--","--","--","--","--","--","--","--","00:09:35.4","00:09:41.5","--","--"
Strength Training,2025-01-17 12:40:10,false,"Spok","0.00","444","00:44:12","136","160","--","--","--","--","--","--","--","0.0","--","--","--","No","00:44:12","1","--","--","--","--","--","--","--","--","00:00:00","00:44:12","--","--"
Treadmill Running,2025-01-17 12:28:36,false,"Treadmill Running","1.81","116","00:09:56.2","146","164","164","175","5:29","5:05","--","--","1.11","0.0","1,642","--","--","No","00:04:26.8","2","--","--","--","--","--","--","--","--","00:09:54.8","00:09:56.2","--","--"
Strength Training,2025-01-13 12:36:33,false,"Spok","0.00","308","00:31:41","133","159","--","--","--","--","--","--","--","0.0","--","--","--","No","00:31:41","1","--","--","--","--","--","--","--","--","00:00:00","00:31:41","--","--"
Treadmill Running,2025-01-13 12:23:50,false,"Treadmill Running","1.94","128","00:10:30","152","172","166","183","5:25","4:49","--","--","1.12","0.0","1,740","--","--","No","00:04:50.1","2","--","--","--","--","--","--","--","--","00:10:30","00:10:30","--","--"
Strength Training,2025-01-10 12:10:47,false,"Home","0.00","451","00:53:55","123","154","--","--","--","--","--","--","--","0.0","--","--","--","No","00:53:55","1","--","--","--","--","--","--","--","--","00:00:00","00:53:55","--","--"
Strength Training,2025-01-06 12:17:43,false,"Spok","0.00","447","00:45:28","136","166","--","--","--","--","--","--","--","0.0","--","--","--","No","00:45:28","1","--","--","--","--","--","--","--","--","00:00:00","00:45:28","--","--"
Treadmill Running,2025-01-06 12:06:08,false,"Treadmill Running","1.83","128","00:10:16","155","172","160","173","5:36","5:05","--","--","1.11","0.0","1,650","--","--","No","00:04:31.1","2","--","--","--","--","--","--","--","--","00:10:05","00:10:16","--","--"
Strength Training,2025-01-02 17:10:49,false,"Spok","0.00","536","00:53:47","138","165","--","--","--","--","--","--","--","0.0","--","--","--","No","00:53:47","1","--","--","--","--","--","--","--","--","00:00:00","00:53:47","--","--"
Treadmill Running,2025-01-02 16:58:24,false,"Treadmill Running","2.00","148","00:11:59","153","170","155","250","6:00","3:23","--","--","1.07","0.0","1,838","--","--","No","00:05:36.4","2","--","--","--","--","--","--","--","--","00:11:58","00:11:59","--","--"
Strength Training,2024-12-16 11:54:00,false,"Home","0.00","319","00:41:30","118","153","--","--","--","--","--","--","--","0.0","--","--","--","No","00:41:30","1","--","--","--","--","--","--","--","--","00:00:00","00:41:30","--","--"
Strength Training,2024-12-13 12:23:48,false,"Spok","0.00","268","00:38:34","116","150","--","--","--","--","--","--","--","0.0","--","--","--","No","00:38:34","1","--","--","--","--","--","--","--","--","00:00:00","00:38:34","--","--"
Treadmill Running,2024-12-13 12:11:53,false,"Treadmill Running","1.70","125","00:10:39","146","173","155","180","6:16","5:06","--","--","1.03","0.0","1,628","--","--","No","00:04:32.3","2","--","--","--","--","--","--","--","--","00:10:01","00:10:39","--","--"
Strength Training,2024-12-09 12:28:02,false,"Strength","0.00","214","00:27:37","119","152","--","--","--","--","--","--","--","0.0","--","--","--","No","00:27:37","1","--","--","--","--","--","--","--","--","00:00:00","00:27:37","--","--"
Treadmill Running,2024-12-09 12:16:31,false,"Treadmill Running","1.78","121","00:10:36","143","161","159","173","5:58","5:09","--","--","1.05","0.0","1,660","--","--","No","00:04:21.9","2","--","--","--","--","--","--","--","--","00:10:19","00:10:36","--","--"
Cycling,2024-11-26 16:40:45,false,"Berlin Cycling","8.22","342","00:40:11","120","157","--","--","12.3","47.2","37","32","--","0.0","--","--","--","No","00:15:58","2","--","--","--","--","--","--","--","--","00:25:28","00:40:11","24","53"
Cycling,2024-11-26 07:45:38,false,"Berlin Cycling","7.81","277","00:28:34","130","170","--","--","16.4","32.1","21","37","--","0.0","--","--","--","No","00:09:33.8","2","--","--","--","--","--","--","--","--","00:22:52","00:28:34","26","59"
Cycling,2024-11-22 15:21:33,false,"Berlin Cycling","8.06","280","00:30:04","126","153","--","--","16.1","26.4","20","6","--","0.0","--","--","--","No","00:10:43","2","--","--","--","--","--","--","--","--","00:24:42","00:30:04","27","59"
Cycling,2024-11-22 07:58:15,false,"Berlin Cycling","7.79","321","00:33:31","130","165","--","--","14.0","40.6","43","44","--","0.0","--","--","--","No","00:14:02","2","--","--","--","--","--","--","--","--","00:25:20","00:33:31","25","56"
Cycling,2024-11-21 16:57:55,false,"Berlin Cycling","7.64","239","00:31:12","112","138","--","--","14.7","25.8","30","17","--","0.0","--","--","--","No","00:12:00","2","--","--","--","--","--","--","--","--","00:25:09","00:31:12","27","56"
Cycling,2024-11-21 08:22:09,false,"Berlin Cycling","8.14","327","00:33:22","131","157","--","--","14.6","26.2","80","46","--","0.0","--","--","--","No","00:15:37","2","--","--","--","--","--","--","--","--","00:27:10","00:33:22","26","83"
Cycling,2024-11-15 15:19:48,false,"Berlin Cycling","7.96","314","00:30:22","135","163","--","--","15.7","26.7","31","27","--","0.0","--","--","--","No","00:12:47","2","--","--","--","--","--","--","--","--","00:25:41","00:30:22","26","57"
Strength Training,2024-11-15 11:06:05,false,"Strength","0.00","351","00:41:27","123","150","--","--","--","--","--","--","--","0.0","--","--","--","No","00:41:27","1","--","--","--","--","--","--","--","--","00:00:00","00:41:27","--","--"
Cycling,2024-11-12 16:18:57,false,"Berlin Cycling","7.91","282","00:30:24","125","152","--","--","15.6","24.9","31","16","--","0.0","--","--","--","No","00:10:52","2","--","--","--","--","--","--","--","--","00:27:06","00:30:24","26","53"
Cycling,2024-11-12 07:46:03,false,"Berlin Cycling","7.83","254","00:28:08","124","158","--","--","16.7","30.9","78","56","--","0.0","--","--","--","No","00:10:40","2","--","--","--","--","--","--","--","--","00:23:47","00:28:08","25","72"
Strength Training,2024-11-08 12:49:50,false,"Spok","0.00","526","00:52:11","135","161","--","--","--","--","--","--","--","0.0","--","--","--","No","00:52:11","1","--","--","--","--","--","--","--","--","00:00:00","00:52:11","--","--"
Cycling,2024-11-07 16:30:38,false,"Berlin Cycling","7.92","312","00:30:04","134","165","--","--","15.8","28.8","38","21","--","0.0","--","--","--","No","00:10:56","2","--","--","--","--","--","--","--","--","00:25:29","00:30:04","27","58"
Cycling,2024-11-07 07:44:24,false,"Berlin Cycling","7.83","315","00:28:23","140","163","--","--","16.6","26.0","48","26","--","0.0","--","--","--","No","00:12:22","2","--","--","--","--","--","--","--","--","00:23:46","00:28:23","25","71"
